ID,Start time,Completion time,Email,Name,Last modified time,What house are you in?,Who is your first choice?,Who is your Second choice?,Who is your Third choice?,Rank your choices by preference
2,8/30/24 12:29:09,8/30/24 12:29:35,anonymous,,,Baxter,George Lennon,John Starr,Ringo McCartney,George Lennon;John Starr;Ringo McCartney;Paul Harrison;
3,8/30/24 12:29:37,8/30/24 12:30:01,anonymous,,,Urquhart,Ringo McCartney,John Starr,Paul Harrison,Ringo McCartney;John Starr;Paul Harrison;George Lennon;
4,8/30/24 12:30:05,8/30/24 12:30:18,anonymous,,,Craig,Paul Harrison,George Lennon,Ringo McCartney,Paul Harrison;George Lennon;Ringo McCartney;John Starr;
5,8/30/24 12:30:20,8/30/24 12:30:36,anonymous,,,McLennen,Paul Harrison,Ringo McCartney,George Lennon,Paul Harrison;Ringo McCartney;George Lennon;John Starr;
6,8/30/24 12:30:38,8/30/24 12:30:52,anonymous,,,Baxter,George Lennon,John Starr,Paul Harrison,George Lennon;John Starr;Paul Harrison;Ringo McCartney;
7,8/30/24 12:30:55,8/30/24 12:31:07,anonymous,,,Urquhart,George Lennon,Paul Harrison,Ringo McCartney,George Lennon;Paul Harrison;Ringo McCartney;John Starr;
8,8/30/24 12:31:10,8/30/24 12:31:20,anonymous,,,Craig,Paul Harrison,George Lennon,John Starr,Paul Harrison;George Lennon;John Starr;Ringo McCartney;
9,8/30/24 12:31:24,8/30/24 12:31:39,anonymous,,,McLennen,Paul Harrison,George Lennon,Ringo McCartney,Paul Harrison;George Lennon;Ringo McCartney;John Starr;
10,8/30/24 12:31:42,8/30/24 12:31:54,anonymous,,,McLennen,George Lennon,Ringo McCartney,John Starr,George Lennon;Ringo McCartney;John Starr;Paul Harrison;
11,8/30/24 12:31:57,8/30/24 12:32:10,anonymous,,,Craig,John Starr,Paul Harrison,George Lennon,John Starr;Paul Harrison;George Lennon;Ringo McCartney;
12,8/30/24 12:32:21,8/30/24 12:32:34,anonymous,,,Baxter,John Starr,Ringo McCartney,Paul Harrison,John Starr;Ringo McCartney;Paul Harrison;George Lennon;
13,8/30/24 12:33:03,8/30/24 12:33:20,anonymous,,,Urquhart,John Starr,Paul Harrison,Ringo McCartney,John Starr;Paul Harrison;Ringo McCartney;George Lennon;
